Player,GP,Reb/G,APG,SPG,BPG,TO,PF,PPG
J. Brown,8,7.1,2.9,1.1,0.3,26.0,22.0,22.1
A. Horford,8,6.8,1.8,0.6,1.6,5.0,19.0,7.6
J. Tatum,7,12.0,5.6,1.9,0.6,22.0,18.0,26.1
J. Holiday,5,3.6,4.6,1.2,0.2,13.0,15.0,10.8
L. Kornet,8,3.6,0.4,0.6,0.6,3.0,14.0,4.4
S. Hauser,6,1.3,0.3,0.2,0.2,3.0,7.0,2.7
T. Craig,3,0.0,0.0,0.3,0.0,1.0,0.0,1.0
P. Pritchard,8,2.3,1.3,0.5,0.0,8.0,17.0,11.4
K. Porzingis,8,5.1,1.0,1.1,0.9,7.0,22.0,9.1
X. Tillman,0,0,0,0,0,0,0,0
D. White,8,6.1,4.1,0.8,1.1,8.0,17.0,17.8
N. Queta,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0
J. Davison,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0
J. Walsh,3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
B. Scheierman,2,1.0,0.0,0.0,0.0,0.0,1.0,1.5
